"Protein","x"
"Q5N9F1","osa03040 osa03018"
"Q5N9Z8","osa01100 osa01110 osa01230 osa00400 osa00350 osa00360 osa00960 osa00950"
"Q5NAY4","osa01100 osa01110 osa01230 osa00340"
"Q5NB69","osa03010"
"Q5NBP9","osa04141"
"Q5NBQ0","osa01100 osa01110 osa01200 osa01230 osa00010 osa00620 osa00230"
"Q5NBQ1","osa01100 osa01110 osa01230 osa00340"
"Q5QLG3","osa01100 osa01110 osa01200 osa00630 osa00260 osa00561"
"Q5QMK7","osa01100 osa01110 osa01200 osa01230 osa00010 osa00260"
"Q5QMT0","osa01100 osa01110 osa00500 osa00940 osa00460"
"Q5QN75","osa04626"
"Q5QNA5","osa01100 osa01200 osa00710 osa00620"
"Q5SNH5","osa01100 osa01110 osa01200 osa01230 osa00010 osa00030 osa00051 osa03018 osa00052"
"Q5TKF4","osa01100 osa01110 osa00230 osa04016 osa00240"
"Q5TKP3","osa03010"
"Q5U1Q4","osa01100 osa01110 osa00940"
"Q5U1S8","osa01100 osa01110 osa00940"
"Q5VNM3","osa03040 osa03013 osa03015"
"Q5VNT9","osa01100 osa01110 osa01200 osa01230 osa00010 osa03018"
"Q5VRF6","osa04130"
"Q5VRG3","osa03050"
"Q5VRH2","osa00970"
"Q5VRX8","osa01100 osa00970"
"Q5VSC2","osa01100 osa04146 osa00760"
"Q5W676","osa01100 osa01110 osa01200 osa00010 osa00500 osa00520 osa00051 osa00052"
"Q5W6F1","osa01100 osa01110 osa00940 osa00130 osa00941 osa00945"
"Q5W6W7","osa01100 osa04146 osa00071 osa01212 osa00061"
"Q5WMR0","osa01100 osa00520 osa00513 osa00511 osa00603 osa00531 osa00604"
"Q5WMX0","osa01100 osa00520"
"Q5WMY3","osa03010"
"Q5Z4D3","osa01100 osa01110 osa00940"
"Q5Z4V2","osa03013"
"Q5Z5T3","osa01100 osa00053"
"Q5Z6P5","osa01100 osa00620"
"Q5Z6P9","osa04141 osa03420"
"Q5Z7N3","osa03410"
"Q5Z7T4","osa01100 osa00190"
"Q5Z8V9","osa01100 osa01110 osa00860"
"Q5Z9H3","osa01100 osa01110 osa01230 osa00400"
"Q5Z9H5","osa01100 osa01110 osa01230 osa00400"
"Q5Z9S4","osa03010"
"Q5ZA98","osa01100 osa00196"
"Q5ZAJ0","osa04626 osa04016"
"Q5ZBX1","osa03010"
"Q5ZCK5","osa04626"
"Q5ZCV1","osa01100 osa01110 osa01230 osa00400"
"Q5ZDX8","osa03040"
