Uniprot,Means.2Moderate,Means.3Extreme,Means.4Recovery,Means.5ControlA
Q7EZJ0,-0.024451649,0.018469749,0.007129978,0.001863715
Q7EY18,-0.00416563,-0.002566631,-0.004974623,-0.011081872
Q6K271,0.027697501,0.076956813,0.016715431,0.033310571
Q6UB39,0.015344295,0.01829033,0.004468433,0.03187374
Q6YVP7,-0.285612421,-0.212148225,-0.230695962,-0.170849312
Q75J49,-0.046162718,0.003861575,-0.043075116,0.00494346
Q75I80,0.010152267,0.005821898,-0.055666195,-0.010586781
Q69RC4,0.000222996,0.105347006,-0.003880579,-0.019548489
Q6YZ75,0.020162775,0.08840763,0.038507714,0.008420335
Q6YS14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q6ZKZ4,0.04021759,0.124841634,0.030441203,0.009078696
Q7X7K8,-0.047641081,-0.112190296,-0.099187319,0.037010034
Q7XSW7,0.006263373,0.038399807,-0.008068644,-0.002708555
Q7XSS2,0.027621256,0.050592288,0.038257867,-0.011683973
Q7XPQ4,0.02135079,-0.062791786,0.032642028,0.000600599
Q7XN10,0.028957419,0.014669447,0.016768894,0.022680701
Q7XVI1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q7XUW2,0.023348891,-0.173503413,-0.11118924,0.022055359
Q7XKR1,0.031826517,0.031220035,0.030409349,0.011842427
Q7XTB4,0.021560244,0.101018333,0.020729982,-0.019664782
A0A0N7,0.008991206,0.044937594,0.03714394,-0.037265367
Q7XUW0,0.024462854,0.01635122,0.032534035,0.027235195
Q7XUQ5,-0.010930427,-0.040157302,-0.035001619,0.061284524
Q7XSV3,-0.038504553,-0.057579843,0.007505697,-0.050107366
Q0J8R9,0.104347933,0.353136675,0.161104488,0.0517704
Q0JA93,-0.038063454,-0.012616408,-0.052733363,-0.004765275
Q7XMN0,0.043722249,0.102294192,0.03826618,0.121851773
Q7XVG9,-0.101885062,-0.238197839,-0.179050862,-0.046062243
Q7XMU4,0.012693835,-0.049112177,-0.018700711,-0.009528988
Q0JEF5,-0.035227536,-0.021543453,-0.194541229,-0.027811349
Q7XUD8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q7XS01,-0.068244347,-0.054154878,-0.076999914,-0.041798204
Q7F9I1,-0.031172186,-0.033115753,-0.025673383,-0.032849365
Q7XLG5,-0.010453506,0.02114445,-0.018677405,-0.008762199
B9FDR3,-0.014581219,-0.045445655,-0.016639132,-0.027003667
Q7XK98,-0.15217866,0.200250016,-0.112932435,-0.101906455
Q7XNR0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q7XLD7,0.012902199,-0.037833287,-0.031820029,0.025957301
Q7F8W1,-0.044288124,-0.084694984,-0.078186939,-0.037105996
