"Protein","x"
"Q9R0Q8","mmu05152"
"Q6QLQ4","mmu04145 mmu05152"
"O35473","mmu03018"
"Q9JMG2","mmu00512 mmu01100"
"O35732","mmu04064 mmu04210 mmu04668 mmu05142"
"P53566","mmu04932 mmu05200 mmu05202 mmu05221"
"P28033","mmu04668 mmu05152 mmu05202"
"Q6PZD9","mmu05202"
"P53568","mmu05152"
"Q6ZQ08","mmu03018"
"Q8BH15","mmu03018"
"Q8C5L3","mmu03018"
"Q8K0V4","mmu03018"
"Q8BT14","mmu03018"
"Q8K3P5","mmu03018"
"Q8VEG6","mmu03018"
"Q60809","mmu03018"
"Q9D8X5","mmu03018"
"Q9JKY0","mmu03018"
"P10810","mmu04010 mmu04064 mmu04145 mmu04620 mmu04640 mmu05132 mmu05133 mmu05134 mmu05146 mmu05152 mmu05202"
"Q9R0L9","mmu04142"
"P25918","mmu04151 mmu04640 mmu04662 mmu05169 mmu05340"
"P11609","mmu04640"
"P11610","mmu04640"
"P08920","mmu04514 mmu04640"
"Q9JLQ0","mmu05100"
"Q91ZX1","mmu04145 mmu05152 mmu05162"
"Q8CJ91","mmu04145 mmu05152 mmu05162"
"Q91ZW9","mmu04145 mmu05152 mmu05162"
"Q91ZW8","mmu04145 mmu05152 mmu05162"
"Q91ZW7","mmu04145 mmu05152 mmu05162"
"P35329","mmu04514 mmu04640 mmu04662"
"Q8K4F0","mmu04514"
"Q07763","mmu04650"
"P24161","mmu04650 mmu04660 mmu05142"
"P24807","mmu04640"
"P41272","mmu04060"
"Q9EP73","mmu04514"
"Q8VE98","mmu04514"
"P31041","mmu04514 mmu04660 mmu04672 mmu04940 mmu05162 mmu05320 mmu05322 mmu05323 mmu05330 mmu05332 mmu05416"
"P04235","mmu04640 mmu04660 mmu05142 mmu05162 mmu05166 mmu05340"
"P22646","mmu04640 mmu04660 mmu05142 mmu05162 mmu05166 mmu05340"
"P11942","mmu04640 mmu04660 mmu05142 mmu05162 mmu05166"
"Q63994","mmu04640"
"Q64314","mmu04514 mmu04640"
"Q08857","mmu03320 mmu04145 mmu04152 mmu04512 mmu04640 mmu04920 mmu04931 mmu04975 mmu05144"
"Q61470","mmu04640"
"P56528","mmu00760 mmu01100 mmu04020 mmu04640 mmu04921 mmu04970 mmu04972"
"P06332","mmu04514 mmu04612 mmu04640 mmu04660 mmu05340"
"P27512","mmu04060 mmu04064 mmu04514 mmu04620 mmu04672 mmu05144 mmu05145 mmu05166 mmu05169 mmu05202 mmu05310 mmu05320 mmu05322 mmu05330 mmu05340 mmu05416"
"P27548","mmu04060 mmu04064 mmu04514 mmu04660 mmu04672 mmu05144 mmu05145 mmu05310 mmu05320 mmu05322 mmu05330 mmu05340 mmu05416"
"P15379","mmu04512 mmu04640 mmu05169 mmu05205 mmu05206"
"O88174","mmu04610 mmu05162"
"Q61735","mmu04512"
"P18181","mmu04650"
"P13379","mmu04640"
"Q61476","mmu04610 mmu04640 mmu05416"
"Q61475","mmu04610 mmu04640 mmu05416"
"O55186","mmu04610 mmu04640"
"P58019","mmu04610 mmu04640"
"Q61003","mmu04514"
"P41731","mmu04142 mmu05205"
"P31996","mmu04142"
"P50283","mmu04640"
"O55237","mmu04060"
"P21855","mmu04662"
"P04441","mmu04612 mmu05152 mmu05168"
"P11911","mmu04662 mmu05340"
"P15530","mmu04662"
"P01731","mmu04514 mmu04612 mmu04640 mmu04660 mmu05340"
"P10300","mmu04514 mmu04612 mmu04640 mmu04660 mmu05340"
"Q00609","mmu04514 mmu04620 mmu04672 mmu04940 mmu05320 mmu05322 mmu05323 mmu05330 mmu05332 mmu05416"
"P35762","mmu04662 mmu05144 mmu05160"
"P40237","mmu04115"
"P42082","mmu04514 mmu04620 mmu04672 mmu04940 mmu05202 mmu05320 mmu05322 mmu05323 mmu05330 mmu05332 mmu05416"
"P40240","mmu04640"
"Q8VCN6","mmu04514 mmu04670"
"Q6GQT0","mmu04110"
"Q6PFY9","mmu04110"
"Q8R349","mmu04110 mmu04114 mmu04120 mmu04914 mmu05166"
"Q8BGZ4","mmu04110 mmu04114 mmu04120 mmu04914 mmu05166"
"P61025","mmu05200 mmu05222"
"P56390","mmu05200 mmu05222"
"Q99L43","mmu00564 mmu01100 mmu04070"
"P98191","mmu00564 mmu01100 mmu04070"
"Q8VDP6","mmu00562 mmu00564 mmu01100 mmu04070"
"Q99LI9","mmu03015"
"Q9D1A2","mmu00330 mmu00340 mmu00410 mmu01100"
"P45481","mmu04024 mmu04066 mmu04068 mmu04110 mmu04310 mmu04330 mmu04350 mmu04520 mmu04630 mmu04720 mmu04916 mmu04919 mmu04922 mmu05016 mmu05152 mmu05161 mmu05164 mmu05166 mmu05168 mmu05200 mmu05203 mmu05206 mmu05211 mmu05215"
"Q68ED7","mmu05166"
"Q3U182","mmu04151 mmu04152 mmu04922 mmu04931 mmu05166"
"Q91X84","mmu05166"
"Q9JHS9","mmu03040"
"Q6NXI8","mmu04310"
"Q80TQ2","mmu04380 mmu04622"
"Q3TTA7","mmu04012 mmu04120 mmu04144 mmu04910 mmu05100 mmu05200 mmu05205 mmu05220"
"Q80XL1","mmu04012 mmu04120 mmu04144 mmu04910 mmu05100 mmu05200 mmu05205 mmu05220"
"P22682","mmu04012 mmu04120 mmu04144 mmu04910 mmu05100 mmu05200 mmu05205 mmu05220"
"Q9DBL7","mmu00770 mmu01100"
"P63154","mmu03040"
"P18894","mmu00260 mmu00330 mmu00472 mmu01100 mmu01130 mmu04146"
"Q922Z0","mmu00250 mmu04146"
"Q9JII5","mmu03015"
"Q9QZ41","mmu04110"
"Q9JJY4","mmu03013"
"Q9Z1N5","mmu03013 mmu03015 mmu03040 mmu05164"
"Q810A7","mmu03040"
"Q569Z5","mmu03040"
"Q61656","mmu03040 mmu05202 mmu05205"
"Q6Q899","mmu04064 mmu04622 mmu04623 mmu05160 mmu05161 mmu05162 mmu05164 mmu05168 mmu05169"
"P54823","mmu03018"
"Q62167","mmu04622 mmu05161 mmu05203"
"O35286","mmu03040"
"Q8VHK9","mmu03018"
"A2A4P0","mmu03040"
"Q99J87","mmu04622"
"Q9CSH3","mmu03018"
"Q8C0S1","mmu03018"
"Q8K4J0","mmu03450 mmu05340"
"O54786","mmu04210"
"O54788","mmu04210"
"P13864","mmu00270 mmu01100 mmu05206"
"O88508","mmu00270 mmu01100 mmu05206"
"O88509","mmu00270 mmu01100 mmu05206"
"Q7TQ07","mmu03460"
"P20664","mmu00230 mmu00240 mmu01100 mmu03030"
"P33610","mmu00230 mmu00240 mmu01100 mmu03030"
"Q6ZQJ5","mmu03030"
"P16381","mmu04622 mmu05161 mmu05203"
"P35639","mmu04010 mmu04141 mmu04932 mmu05202"
"Q9D3F7","mmu04150 mmu04151 mmu05206"
"Q99J56","mmu04141 mmu05014"
"Q8BNI4","mmu04141"
"Q9D8K3","mmu04141"
"P63037","mmu04141"
"Q9QYJ0","mmu04141"
"Q99M87","mmu05203"
"Q9QYJ3","mmu04141 mmu05164"
"Q99KV1","mmu04141"
"Q9QYI4","mmu04141"
"Q9QYI5","mmu04141"
"Q61712","mmu04141"
"Q9DC23","mmu04141"
"Q91YW3","mmu04141 mmu05164"
"Q9CQ94","mmu04141"
"P60904","mmu04141"
"Q80TZ3","mmu04144"
"B2RWS6","mmu04024 mmu04066 mmu04068 mmu04110 mmu04310 mmu04330 mmu04350 mmu04520 mmu04630 mmu04720 mmu04916 mmu04919 mmu04922 mmu05016 mmu05152 mmu05161 mmu05164 mmu05166 mmu05168 mmu05200 mmu05203 mmu05206 mmu05211 mmu05215"
"P27577","mmu04014 mmu04320 mmu05166 mmu05211"
"P15037","mmu04014 mmu04320 mmu05166"
"Q61501","mmu04110 mmu05161 mmu05166 mmu05200 mmu05206 mmu05212 mmu05214 mmu05215 mmu05218 mmu05219 mmu05220 mmu05222 mmu05223"
